title,br_id,media_type,distributor,genres,rating,bluray_ratings,media_img,release_date
"20,000 Leagues Under the Sea (1954)",5164,dvd,Disney / Buena Vista,Family; Sci-Fi; Adventure; Drama; Fantasy,7.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/5164_medium.jpg?t=1503608471,"May 20, 2003"
311: 3-11 Day 2004: Live in New Orleans (2004),183272,dvd,Volcano,Music,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/183272_medium.jpg?t=1561134833,"Oct 26, 2004"
Accepted (2006),10589,dvd,Universal Studios,Comedy; Teen,6.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/10589_medium.jpg?t=1387698895,"May 03, 2009"
Ace Ventura Deluxe Double Feature (1994-1995),5180,dvd,Warner Bros.,Comedy; Mystery; Adventure; Action,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/5180_medium.jpg?t=0,1995
Alien (1979),1335,dvd,20th Century Fox,Sci-Fi; Action; Thriller; Horror,9,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/1335_medium.jpg?t=1322862874,"Jun 01, 1999"
Aliens (1986),3485,dvd,20th Century Fox,Sci-Fi; Action; Thriller; Horror,8.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/3485_medium.jpg?t=1340265622,"Sep 05, 2006"
All Monsters Attack (1969),21390,dvd,Classic Media,Foreign; Sci-Fi; Fantasy; Imaginary; Adventure; Family,4.9,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/21390_medium.jpg?t=1318801733,"Apr 29, 2008"
Anchorman: The Legend of Ron Burgundy (2004),11201,dvd,DreamWorks,Comedy; Period; Romance,7.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/11201_medium.jpg?t=0,"Dec 28, 2004"
The Animatrix (2003),84,dvd,Warner Bros.,Action; Sci-Fi; Thriller; Surreal; Anime; Short,7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/84_medium.jpg?t=0,"Jun 03, 2003"
Appleseed (2004),20769,dvd,Geneon Entertainment,Anime; Action; Sci-Fi; Adventure,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/20769_medium.jpg?t=1318278963,"May 10, 2005"
